actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Ashleigh Murray,Camila Mendes,Casey Cott,Charles Melton,Cole Sprouse,K.J. Apa,Lili Reinhart,Mädchen Amick,Madelaine Petsch,Marisol Nichols,Mark Consuelos,Skeet Ulrich",EMISION,2017,"Drama,Misterio,Series de The CW",4.5,4,Riverdale
"Bianca Comparato,Rafael Lozano,Rodolfo Valente,Vaneza Oliveira",EMISION,2016,"Drama,Ciencia ficción,Fantasía,Series de Netflix",4.5,4,3%
"Cameron Boyce,Debby Ryan,Karan Brar,Kevin Chamberlin,Peyton List,Skai Jackson",FINALIZADA,2011,"Comedia,Series de Disney Channel",5,4,Jessie
,EMISION,2019,Drama,0,1,Identidad secreta
"Clea Shearer,Joanna Teplin",EMISION,2020,"Reality,Series de Netflix",5,1,Organízate con el método The Home Edit
"Bárbara Torres,Brayan Gibran Mateo,Consuelo Duval,Eugenio Derbez,Luis Manuel Ávila,Miguel Pérez,Regina Blandón",FINALIZADA,2002,"Comedia,Series de Univision",5,3,La familia P. Luche
"Billy Ray Cyrus,Emily Osment,Jason Earles,Miley Cyrus,Moisés Arias",FINALIZADA,2006,"Comedia,Familia,Series de Disney Channel",5,4,Hannah Montana
,EMISION,2020,"Crimen,Documental,Series de Netflix",0,1,La Línea: La sombra del narco
"Alex Borstein,Mike Henry,Mila Kunis,Seth Green,Seth MacFarlane",EMISION,1999,"Animación,Antiguas,Comedia,Series de Amazon",5,18,Padre de Familia
"Katherine Ryan,Katy Byrne,Michelle De Swarte",EMISION,2020,"Comedia,Drama,Series de Netflix",0,1,Casi una duquesa
"Andrea Elson,Anne Schedeen,Benji Gregory,Max Wright,Paul Fusco",FINALIZADA,1986,"Antiguas,Comedia,Familia,Series de NBC",5,4,ALF
"Derek Wilson,Eliza Coupe,Josh Hutcherson",FINALIZADA,2017,"Comedia,Ciencia ficción,Fantasía,Series de Hulu,Series de Movistar+",5,3,Future Man
"Billy West,David Herman,Frank Welker,John DiMaggio,Katey Sagal,Lauren Tom,Maurice LaMarche,Phil LaMarr,Tress MacNeille",FINALIZADA,1999,"Animación,Antiguas,Comedia,Series de Comedy Central,Series de FOX",4,7,Futurama
,EMISION,2020,"Documental,Series de Amazon",2.5,1,Futbolistas por el mundo
"Alex Sparrow,Ben Schwartz,Diana Silvers,Fred Willard,Jessica St. Clair,Jimmy O. Yang,John Malkovich,Noah Emmerich,Owen Daniels,Steve Carell,Tawny Newsome",EMISION,2020,"Comedia,Series de Netflix",4,1,Fuerza espacial
"Áine Rose Daly,Dermot Mulroney,Esme Creed-Miles,Mireille Enos,Noah Taylor,Yasmin Monet Prince",EMISION,2019,"Drama,Acción,Animación,Series de Amazon",4,2,Hanna
